ZoomEncPos	Actual_Meas_Magn
9464	
9469	0.778188
9474	0.778953
9479	0.780333
9484	0.783552
9489	0.786385
9494	0.789395
9499	0.791938
9504	0.795145
9509	0.797942
9514	0.801292
9519	0.804091
9524	0.807604
9529	0.810372
9534	0.813838
9539	0.816776
9544	0.819954
9549	0.823907
9551	0.82368
9554	0.824977
9556	0.823718
9559	0.824996
9561	0.825012
9566	0.828568
9571	0.831795
9576	0.834612
9581	0.838215
9586	0.841078
9591	0.844581
9596	0.84742
9601	0.850998
9606	0.853863
9611	0.857295
9616	0.860279
9621	0.863901
9626	0.866774
9631	0.85617
9636	0.873435
9641	0.87697
9646	0.865793
9651	0.883839
9656	0.872281
9661	0.875719
9666	0.893633
9671	0.882237
9676	0.885279
9681	0.903845
9686	0.89181
9691	0.895353
9696	0.914053
9701	0.901973
9706	0.905215
9711	0.924799
9716	0.912032
9721	0.915727
9726	0.935219
9731	0.938971
9736	0.925874
9741	0.946048
9746	0.949325
9751	0.936395
9756	0.940043
9761	0.960458
9766	0.963952
9771	0.95046
9776	0.97142
9781	0.975502
9786	0.979044
9791	0.983168
9796	0.986505
9801	0.990524
9806	0.993977
9811	0.997945
9816	1.00127
9821	1.005339
9826	1.009032
9831	1.01311
9836	1.016701
9841	1.020803
9846	1.024573
9851	1.028995
9856	1.032589
9861	1.03679
9866	1.040437
9871	1.044695
9876	1.048272
9881	1.052726
9886	1.056261
9891	1.060633
9896	1.064542
9901	1.068861
9906	1.072802
9911	1.077226
9916	1.081283
9921	1.085761
9926	1.089663
9931	1.094141
9936	1.098055
9941	1.10236
9946	1.106136
9951	1.11051
9956	1.114309
9961	1.118799
9966	1.122923
9971	1.127608
9976	1.131772
9981	1.136644
9986	1.1407
9991	1.145377
9996	1.149298
10001	1.153998
10006	1.158072
10011	1.162697
10016	1.166681
10021	1.171457
10026	1.175787
10031	1.180415
10036	1.18463
10041	1.18955
10046	1.193994
10051	1.199097
10056	1.203453
10061	1.208254
10066	1.212284
10071	1.21716
10076	1.221431
10081	1.226225
10086	1.230492
