Test Date:	Model	FWVer	SerialNumber	ImageFileName	YCenter	XCenter	Estimated_Magn	Actual_Meas_Magn	ZoomEncPos	ZoomPos	Rho	
23/07/2019 10:02:08 AM		4.00.400935	005695288	9551.jpeg	748	1050	0.896017	0.823680	9551	0.84	System.Windows.Forms.TextBox, Text: 0.852607	
23/07/2019 10:02:30 AM		4.00.400935	005695288	9556.jpeg	754	1050	0.896017	0.823718	9556	0.837	System.Windows.Forms.TextBox, Text: 0.851542	
23/07/2019 10:02:51 AM		4.00.400935	005695288	9561.jpeg	750	1050	0.832269	0.825012	9561	0.84	System.Windows.Forms.TextBox, Text: 0.849361	
23/07/2019 10:03:12 AM		4.00.400935	005695288	9566.jpeg	758	1050	0.823320	0.828568	9566	0.843	System.Windows.Forms.TextBox, Text: 0.849883	
23/07/2019 10:03:34 AM		4.00.400935	005695288	9571.jpeg	750	1051	0.905652	0.831795	9571	0.846	System.Windows.Forms.TextBox, Text: 0.852373	
23/07/2019 10:03:55 AM		4.00.400935	005695288	9576.jpeg	750	1050	0.841415	0.834612	9576	0.85	System.Windows.Forms.TextBox, Text: 0.850948	
23/07/2019 10:04:16 AM		4.00.400935	005695288	9581.jpeg	750	1050	0.832269	0.838215	9581	0.853	System.Windows.Forms.TextBox, Text: 0.857479	
23/07/2019 10:04:38 AM		4.00.400935	005695288	9586.jpeg	750	1051	0.915496	0.841078	9586	0.856	System.Windows.Forms.TextBox, Text: 0.851905	
23/07/2019 10:04:59 AM		4.00.400935	005695288	9591.jpeg	759	1050	0.850764	0.844581	9591	0.859	System.Windows.Forms.TextBox, Text: 0.859259	
23/07/2019 10:05:20 AM		4.00.400935	005695288	9596.jpeg	747	1051	0.841415	0.847420	9596	0.863	System.Windows.Forms.TextBox, Text: 0.856060	
23/07/2019 10:05:42 AM		4.00.400935	005695288	9601.jpeg	764	1051	0.925557	0.850998	9601	0.866	System.Windows.Forms.TextBox, Text: 0.856280	
23/07/2019 10:06:03 AM		4.00.400935	005695288	9606.jpeg	764	1050	0.860323	0.853863	9606	0.869	System.Windows.Forms.TextBox, Text: 0.857792	
23/07/2019 10:06:24 AM		4.00.400935	005695288	9611.jpeg	752	1050	0.850764	0.857295	9611	0.872	System.Windows.Forms.TextBox, Text: 0.858525	
23/07/2019 10:06:46 AM		4.00.400935	005695288	9616.jpeg	756	1051	0.935840	0.860279	9616	0.876	System.Windows.Forms.TextBox, Text: 0.856359	
23/07/2019 10:07:07 AM		4.00.400935	005695288	9621.jpeg	764	1050	0.870100	0.863901	9621	0.879	System.Windows.Forms.TextBox, Text: 0.862156	
23/07/2019 10:07:28 AM		4.00.400935	005695288	9626.jpeg	768	1051	0.860323	0.866774	9626	0.883	System.Windows.Forms.TextBox, Text: 0.858463	
23/07/2019 10:24:46 AM		4.00.400935	005695288	9631.jpeg	766	1051	0.860323	0.856170	9631	0.886	System.Windows.Forms.TextBox, Text: 0.399389	
23/07/2019 10:25:08 AM		4.00.400935	005695288	9636.jpeg	777	1051	0.880101	0.873435	9636	0.889	System.Windows.Forms.TextBox, Text: 0.855104	
23/07/2019 10:25:29 AM		4.00.400935	005695288	9641.jpeg	770	1050	0.870100	0.876970	9641	0.893	System.Windows.Forms.TextBox, Text: 0.855386	
23/07/2019 10:44:23 AM		4.00.400935	005695288	9646.jpeg	774	1051	0.870100	0.865793	9646	0.896	System.Windows.Forms.TextBox, Text: 0.387123	
23/07/2019 10:44:45 AM		4.00.400935	005695288	9651.jpeg	774	1051	0.890335	0.883839	9651	0.899	System.Windows.Forms.TextBox, Text: 0.857381	
23/07/2019 10:46:31 AM		4.00.400935	005695288	9656.jpeg	774	1051	0.880101	0.872281	9656	0.903	System.Windows.Forms.TextBox, Text: 0.390564	
23/07/2019 10:47:05 AM		4.00.400935	005695288	9661.jpeg	776	1051	0.880101	0.875719	9661	0.906	System.Windows.Forms.TextBox, Text: 0.394497	
23/07/2019 10:47:26 AM		4.00.400935	005695288	9666.jpeg	778	1051	0.900809	0.893633	9666	0.91	System.Windows.Forms.TextBox, Text: 0.858422	
23/07/2019 10:48:44 AM		4.00.400935	005695288	9671.jpeg	778	1051	0.890335	0.882237	9671	0.913	System.Windows.Forms.TextBox, Text: 0.403830	
23/07/2019 10:49:19 AM		4.00.400935	005695288	9676.jpeg	779	1051	0.890335	0.885279	9676	0.917	System.Windows.Forms.TextBox, Text: 0.396535	
23/07/2019 10:49:40 AM		4.00.400935	005695288	9681.jpeg	779	1051	0.911533	0.903845	9681	0.92	System.Windows.Forms.TextBox, Text: 0.860828	
23/07/2019 10:50:15 AM		4.00.400935	005695288	9686.jpeg	776	1051	0.900809	0.891810	9686	0.924	System.Windows.Forms.TextBox, Text: 0.395435	
23/07/2019 10:50:50 AM		4.00.400935	005695288	9691.jpeg	780	1051	0.900809	0.895353	9691	0.927	System.Windows.Forms.TextBox, Text: 0.397395	
23/07/2019 10:51:11 AM		4.00.400935	005695288	9696.jpeg	778	1051	0.922515	0.914053	9696	0.931	System.Windows.Forms.TextBox, Text: 0.861955	
23/07/2019 10:54:31 AM		4.00.400935	005695288	9701.jpeg	778	1051	0.911533	0.901973	9701	0.934	System.Windows.Forms.TextBox, Text: 0.395061	
23/07/2019 10:55:06 AM		4.00.400935	005695288	9706.jpeg	778	1053	0.911533	0.905215	9706	0.938	System.Windows.Forms.TextBox, Text: 0.387589	
23/07/2019 10:55:27 AM		4.00.400935	005695288	9711.jpeg	780	1051	0.933765	0.924799	9711	0.942	System.Windows.Forms.TextBox, Text: 0.865749	
23/07/2019 10:56:33 AM		4.00.400935	005695288	9716.jpeg	778	1051	0.922515	0.912032	9716	0.945	System.Windows.Forms.TextBox, Text: 0.394124	
23/07/2019 10:57:09 AM		4.00.400935	005695288	9721.jpeg	779	1051	0.922515	0.915727	9721	0.949	System.Windows.Forms.TextBox, Text: 0.391506	
23/07/2019 10:57:30 AM		4.00.400935	005695288	9726.jpeg	779	1053	0.945293	0.935219	9726	0.952	System.Windows.Forms.TextBox, Text: 0.865604	
23/07/2019 10:57:51 AM		4.00.400935	005695288	9731.jpeg	781	1053	0.945293	0.938971	9731	0.956	System.Windows.Forms.TextBox, Text: 0.867951	
23/07/2019 10:58:26 AM		4.00.400935	005695288	9736.jpeg	780	1052	0.933765	0.925874	9736	0.96	System.Windows.Forms.TextBox, Text: 0.392137	
23/07/2019 10:58:47 AM		4.00.400935	005695288	9741.jpeg	780	1051	0.957110	0.946048	9741	0.963	System.Windows.Forms.TextBox, Text: 0.870890	
23/07/2019 10:59:08 AM		4.00.400935	005695288	9746.jpeg	780	1051	0.957110	0.949325	9746	0.967	System.Windows.Forms.TextBox, Text: 0.868761	
23/07/2019 10:59:43 AM		4.00.400935	005695288	9751.jpeg	782	1053	0.945293	0.936395	9751	0.971	System.Windows.Forms.TextBox, Text: 0.397498	
23/07/2019 11:00:21 AM		4.00.400935	005695288	9756.jpeg	781	1052	0.945293	0.940043	9756	0.974	System.Windows.Forms.TextBox, Text: 0.397332	
23/07/2019 11:00:42 AM		4.00.400935	005695288	9761.jpeg	782	1052	0.969225	0.960458	9761	0.978	System.Windows.Forms.TextBox, Text: 0.870804	
23/07/2019 11:01:04 AM		4.00.400935	005695288	9766.jpeg	782	1052	0.957110	0.963952	9766	0.982	System.Windows.Forms.TextBox, Text: 0.872573	
23/07/2019 11:01:39 AM		4.00.400935	005695288	9771.jpeg	780	1053	0.957110	0.950460	9771	0.986	System.Windows.Forms.TextBox, Text: 0.404522	
23/07/2019 11:02:00 AM		4.00.400935	005695288	9776.jpeg	783	1052	0.981651	0.971420	9776	0.989	System.Windows.Forms.TextBox, Text: 0.874804	
23/07/2019 11:02:21 AM		4.00.400935	005695288	9781.jpeg	780	1052	0.969225	0.975502	9781	0.993	System.Windows.Forms.TextBox, Text: 0.873392	
23/07/2019 11:02:42 AM		4.00.400935	005695288	9786.jpeg	784	1052	0.969225	0.979044	9786	0.997	System.Windows.Forms.TextBox, Text: 0.875127	
23/07/2019 11:03:04 AM		4.00.400935	005695288	9791.jpeg	784	1052	0.994400	0.983168	9791	1.001	System.Windows.Forms.TextBox, Text: 0.874842	
23/07/2019 11:03:25 AM		4.00.400935	005695288	9796.jpeg	784	1052	0.994400	0.986505	9796	1.005	System.Windows.Forms.TextBox, Text: 0.877724	
23/07/2019 11:03:46 AM		4.00.400935	005695288	9801.jpeg	784	1051	0.981651	0.990524	9801	1.008	System.Windows.Forms.TextBox, Text: 0.878232	
23/07/2019 11:04:07 AM		4.00.400935	005695288	9806.jpeg	784	1051	0.981651	0.993977	9806	1.012	System.Windows.Forms.TextBox, Text: 0.876730	
23/07/2019 11:04:29 AM		4.00.400935	005695288	9811.jpeg	785	1051	1.007484	0.997945	9811	1.016	System.Windows.Forms.TextBox, Text: 0.880633	
23/07/2019 11:04:50 AM		4.00.400935	005695288	9816.jpeg	784	1053	0.994400	1.001270	9816	1.02	System.Windows.Forms.TextBox, Text: 0.881677	
23/07/2019 11:05:11 AM		4.00.400935	005695288	9821.jpeg	784	1051	0.994400	1.005339	9821	1.024	System.Windows.Forms.TextBox, Text: 0.878068	
23/07/2019 11:05:32 AM		4.00.400935	005695288	9826.jpeg	783	1053	1.020917	1.009032	9826	1.028	System.Windows.Forms.TextBox, Text: 0.880943	
23/07/2019 11:05:54 AM		4.00.400935	005695288	9831.jpeg	779	1051	1.020917	1.013110	9831	1.032	System.Windows.Forms.TextBox, Text: 0.882783	
23/07/2019 11:06:15 AM		4.00.400935	005695288	9836.jpeg	784	1052	1.007484	1.016701	9836	1.036	System.Windows.Forms.TextBox, Text: 0.883686	
23/07/2019 11:06:36 AM		4.00.400935	005695288	9841.jpeg	783	1051	1.007484	1.020803	9841	1.04	System.Windows.Forms.TextBox, Text: 0.886647	
23/07/2019 11:06:57 AM		4.00.400935	005695288	9846.jpeg	750	1051	1.034713	1.024573	9846	1.044	System.Windows.Forms.TextBox, Text: 0.882810	
